FinalID,ReefBuildingSpecies,CommonEnglish,Type,OrbicellaAcropora,BCG Attribute,RedListCategory,DepthRange_m,DepthCategory,LifeHistoryStrategy,Darling etal 2012 Life History Group,origReefBuilding,ReproPattern_Mode,ReproPattern,ReproMode,YearlyGametogenesis,AnnualGametogeneses,SpawningBroodingEvents,SpawningBroodingSeason,GrowthForm,OLD_Morphology,MorphologyIndex,GrowthRate_cm_yr,GrowthRate_code,MeanSize,Susc3stars,SedimentSusceptibility,SedSuscCode,SedBCG_DELETE,BleachingSusceptibility,BleachSuscCode,BleachBCG_DELETE,DiseaseSusceptibility,DiseaseSuscCode,DiseaseBCG_DELETE,PATHOGENICDISEASES,GEOGRAPHICDISTRIBUTION,OBSERVATIONS_COMMENTS
Cyanophyta spp,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanophyta,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyota spp,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyota,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halimeda spp,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halimeda,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobophora spp,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobophora,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macro other calcareous,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macro other fleshy,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peysonnellia,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodophyta cru. spp,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodophyta cru.,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodophyta cru,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf algae free of sediment,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf algae with sediment,,,Bare_TurfWSed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare substrate,,,Bare_TurfWSed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliona spp,,,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliona,,,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encrusting gorgonian,,,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythropodium caribaeorum,,encrusting gorgonian,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgonacea plumes/rods/whips,,gorgonians,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgonians,,,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnoliophyta spp,,,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnoliophyta,,,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other spp,,,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
