FinalID,CommonEnglish,BCGAttribute,BCGAttributeFl,RedListCategory,Guild,PiscivoreSize,A,B
Acanthostracion polygonius,Honeycomb cowfish,I,NA,LC,I,NA,NA,NA
Acanthostracion quadricomis,Scrawled cowfish,I,NA,NA,I,NA,NA,NA
Carcharhinus limbatus,Blacktip shark,I,NA,VU,P,LP,0.00325,3.28316
Carcharhinus perezii,Caribbean reef shark,I,NA,NA,P,LP,0.0271,3
Epinephelus itajara,Atlantic Goliath Grouper,I,NA,VU,P,LP,0.0131,3.056
Epinephelus morio,Red grouper,I,NA,VU,I,NA,0.0123,3.035
Epinephelus striatus,Nassau grouper,I,NA,CR,P,LP,0.00649,3.229
Mycteroperca bonaci,Black grouper,I,NA,NT,P,LP,0.00684,3.205
Mycteroperca interstitialis,Yellowmouth grouper,I,NA,VU,P,SP,0.0009,3.582
Mycteroperca tigris,Tiger grouper,I,NA,DD,P,LP,0.01425,3.115
Mycteroperca venenosa,Yellowfin grouper,I,NA,NT,P,LP,0.00952,3.14
Scarus coelestinus,Midnight parrotfish,I,NA,DD,H,NA,0.0153,3.062
Scarus coeruleus,Blue parrotfish,I,NA,LC,H,NA,0.0124,3.111
Scarus guacamaia,Rainbow parrotfish,I,NA,NT,H,NA,0.0155,3.0629
Sphyrna mokarran,Great Hammerhead Shark,I,NA,CR,P,LP,0.00123,3.24
Aetobatus narinari,Spotted eagle ray,II,NA,EN,I,NA,0.00586,3.13
Aluterus scriptus,Scrawled filefish,II,NA,LC,I,NA,0.823,1.814
Amblycirrhitus pinos,Redspotted hawkfish,II,NA,LC,Z,NA,0.00257,3.427
Anisotremus surinamensis,Black margate,II,NA,DD,I,NA,0.067,2.69
Astrapogon stellatus,Conchfish,II,NA,DD,I,NA,0.017,3.077
Aulostomus maculatus,Trumpetfish,II,NA,LC,P,SP,0.00396,2.865
Cantherhines macrocerus,America whitespotted filefish,II,NA,NA,I,NA,0.0156,3.2
Cantherhines pullus,Orangespotted filefish,II,NA,LC,H,NA,0.0684,2.563
Caranx crysos,Blue runner,II,NA,LC,P,SP,0.0089,3.11
Caranx hippos,Crevalle jack,II,NA,LC,P,LP,0.0246,2.90175
Cephalophilus furcifer,Atlantic creolefish,II,NA,NA,Z,NA,NA,NA
Chaenopsis limbaughi,Yellowface pikeblenny,II,NA,LC,I,NA,NA,NA
Chaetodipterus faber,Atlantic spadefish,II,NA,LC,I,NA,0.07368,2.731
Chromis cyanea,Blue chromis,II,NA,LC,Z,NA,NA,NA
Chromis multilineata,Brown chromis,II,NA,LC,Z,NA,NA,NA
Clepticus parrae,Creole wrasse,II,NA,LC,Z,NA,NA,NA
Dactylopterus volitans,Flying gurnard,II,NA,LC,I,NA,0.00331,3.32
Dasyatis americana,Southern stingray,II,NA,NA,I,NA,NA,NA
Elacatinus genie,Cleaner goby,II,NA,LC,H,NA,NA,NA
Elacatinus multifasciatus,Greenbanded goby,II,NA,NA,I,NA,NA,NA
Elacatinus oceanops,Neon goby,II,NA,LC,I,NA,0.00799,3.137
Elacatinus prochilos,Broadstripe goby,II,NA,VU,I,NA,NA,NA
Elacatinus saucrum,Leopard goby,II,NA,NA,I,NA,NA,NA
Enchelycore nigricans,Viper moray,II,NA,LC,P,SP,0.00173,3
Fistularia tabacaria,Bluespotted cornetfish,II,NA,LC,P,SP,0.0002,3.25
Galeocerdo cuvier,Tiger shark,II,NA,NT,P,LP,0.00621,3.16
Ginglymostoma cirratum,Nurse shark,II,NA,VU,P,LP,0.0106,2.892
Gramma loreto,Fairy basslet,II,NA,LC,I,NA,NA,NA
Haemulon chrysargyreum,Smallmouth grunt,II,NA,LC,I,NA,NA,NA
Halichoeres radiatus,Puddingwife,II,NA,LC,I,NA,0.0131,3.038
Heteropriacanthus cruentatus,Glasseye snapper,II,NA,LC,Z,NA,0.02793,2.82313
Holacanthus ciliaris,Queen angelfish,II,NA,LC,I,NA,0.0336,2.9
Holacanthus tricolor,Rock beauty,II,NA,LC,I,NA,0.0428,2.858
Hypoplectrus gemma,Blue hamlet,II,NA,LC,NA,NA,NA,NA
Hypoplectrus hybrid,Hybrid hamlet,II,NA,NA,NA,NA,NA,NA
Lachnolaimus maximus,Hogfish,II,NA,VU,I,NA,0.00887,3.264
Lactophrys triqueter,Smooth trunkfish,II,NA,LC,I,NA,0.309,2.23
Lactophrys bicaudalis,Spotted trunkfish,II,NA,LC,I,NA,0.07325,2.815
Lactophrys trigonus,Trunkfish,II,NA,LC,I,NA,0.0178,3.083
Lutjanus analis,Mutton snapper,II,NA,NT,I,NA,0.0163,2.944
Lutjanus cyanopterus,Cubera snapper,II,NA,VU,P,LP,0.0151,3.059
Lutjanus jocu,Dog snapper,II,NA,DD,P,LP,0.0158,2.998
Melichthys niger,Black durgon,II,NA,LC,H,NA,0.0439,2.8
Negaprion brevirostris,Lemon Shark,II,NA,VU,P,LP,0.0053,3.16
Pareques acuminatus,Highhat,II,NA,LC,I,NA,0.00871,3.202
Priacanthus arenatus,Bigeye,II,NA,LC,I,NA,0.0443,2.644
Priolepis hipoliti,Rusty goby,II,NA,LC,I,NA,0.0133,3.041
Prognathodes aculeatus,Longsnout butterflyfish,II,NA,LC,I,NA,NA,NA
Scomberomorus regalis,Cero,II,NA,LC,P,SP,0.0202,2.8
Seriola dumerili,Greater amberjack,II,NA,LC,P,LP,0.05065,2.72
Seriola rivoliana,Almaco jack,II,NA,LC,P,LP,0.0146,3.055
Serranus tigrinus,Harlequin bass,II,NA,LC,I,NA,0.0145,3.048
Thalassoma bifasciatum,Bluehead,II,NA,LC,I,NA,0.0107,2.916
Trachinotus falcatus,Permit,II,NA,LC,I,NA,0.0531,2.803
Trachinotus goodei,Palometa,II,NA,LC,P,SP,0.0144,2.9
Xanthichthys ringens,Sargassum triggerfish,II,NA,LC,Z,NA,NA,NA
Abudefduf taurus,Night sergeant,III,NA,LC,H,NA,NA,NA
Acanthemblemaria aspera,Roughhead blenny,III,III,LC,I,NA,0.00771,2.962
