FinalID,ReefBuildingSpecies,CommonEnglish,Type,OrbicellaAcropora,BCG Attribute,RedListCategory,DepthRange_m,DepthCategory,LifeHistoryStrategy,Darling etal 2012 Life History Group,origReefBuilding,ReproPattern_Mode,ReproPattern,ReproMode,YearlyGametogenesis,AnnualGametogeneses,SpawningBroodingEvents,SpawningBroodingSeason,GrowthForm,OLD_Morphology,MorphologyIndex,GrowthRate_cm_yr,GrowthRate_code,MeanSize,Susc3stars,SedimentSusceptibility,SedSuscCode,SedBCG_DELETE,BleachingSusceptibility,BleachSuscCode,BleachBCG_DELETE,DiseaseSusceptibility,DiseaseSuscCode,DiseaseBCG_DELETE,PATHOGENICDISEASES,GEOGRAPHICDISTRIBUTION,OBSERVATIONS_COMMENTS
<UNKNOWN>,,<UNKNOWN>,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora cervicornis,X,staghorn coral,Scleractinian,OrbAcrp,3,Critically endangered,0 - 20,Shallow,C,1 - Competitive,X,H - S,H,S,1,1,1-Feb,SU,BR,"branching, fragile",4,abr-37,Very fast,Large - Very large,7,**,LoMod,2-Mar,**,LoMod,03-abr,***,HiMod,03-abr,WBD - BBD - WPX - RBD - GAN - CCI - OTH,Wider Caribbean except Bermuda,"Endangered species (ESA-IUCN). Two conspicuous morphologies in the Caribbean, this one has thin, long branches, frequent lateral branching and fast growth. Good recovery reported for many localities but still impacted by WBD outbreaks"
Acropora palmata,X,elkhorn coral,Scleractinian,OrbAcrp,4,Critically endangered,0 - 20,Shallow,C,1 - Competitive,X,H - S,H,S,1,1,1-Feb,SU,BR-CR,branching,4,2.5 - 20,Very fast,Large - Very large,9,***,HiMod,03-abr,***,HiMod,4-May,***,HiMod,4-May,WBD - WPX - CCI - GAN - OTH,Wider Caribbean except Bermuda,"Endangered species (ESA-IUCN). Recovering is benn slow in most localities. Still affected by WBD-like signs, algae overgorwth and damselfishand fireworm predation"
Acropora prolifera,X,fused staghorn,Scleractinian,OrbAcrp,4,,0 - 10,Shallow,C,,X,H - S,H,S,1,1,1-Feb,SU,BR,,4,Jul-32,Very fast,Large - Very large,6,**,LoMod,2-Mar,**,LoMod,3,**,LoMod,2,WBD - CCI - OTH,Wider Caribbean except Bermuda,"Hybrid taxon between A. cervicornis and A.palmata. Mophology depends on which parental species donated the egg or sperm. Dense, finger-like, short branches form compact colonies that seem more resistant to WBD-like infections and damselfish colonization."
Acropora sp.,,Thick staghorn coral,Scleractinian,OrbAcrp,,,0 - 10,Shallow,C,,,H - S,H,S,1,1,1-Feb,SU,BR,,,ago-25,Very fast,Large - Very large,6,**,LoMod,2-Mar,**,LoMod,03-abr,**,LoMod,2-Mar,WBD - BBD - RBD - CCI - OTH,Central and southern Caribbean,"Needs taxonomic verification. This thick growth form have been observed growing side by side with the thin, commom A. cervicornis. Common in the southern Caribbean"
Agaricia,,,Scleractinian,,,,,Broad,W,2 - Weedy,,,,B,1,1,,,,based on species within genus,1,,Slow,,10,,High,,,High,,,LoMod,,,,
Agaricia agaricites,,Low relief lettuce coral,Scleractinian,,4,Least concern,0 - 50,Broad,W,2 - Weedy,,G - MP - B,G,B,1,1,>6,SP-SU-FA,SM-CR,encrusting or hemispherical sheets,1,0.08 -0.2,Very Slow,Small,10,****,High,5,****,High,4-May,**,LoMod,2-Mar,WPD - RBD - DSD - CCI,Wider Caribbean except Bermuda,"Submassive, crustose colonies."
Agaricia fragilis,,Fragile saucer coral,Scleractinian,,,Data deficient,Oct-50,Broad,W,2 - Weedy,,? - B,,B,1,1,>1,SU-FA?,CR-FO,plate,1,?,?,Small,8,***,HiMod,03-abr,****,High,5,*,Low,1,WPD - BBD - RBD,Wider Caribbean except Bermuda,"Small, dark-colored, round/oval plates with low ridges and long valleys with tiny calices."
Agaricia grahamae,,Dimpled sheet coral,Scleractinian,,,Least concern,30 - 80?,Deep,W,,,? - B,,B,1,1,?,?,PL-CR,based on species within genus,1,?,?,Large - Very large,8,****,High,5,***,HiMod,4-May,*,Low,1,WPD - OTH,Wider Caribbean except Bermuda,Needs genetic verification - mesophotic deep coral
Agaricia humilis,,Low relief lettuce coral,Scleractinian,,4,Least concern,0 - 25,,W,2 - Weedy,,G - MP- B,G,B,1,1,>6,SP-SU-FA,PL-CR,encrusting,1,?,Very Slow,Small - Medium,10,****,High,5,****,High,4-May,**,LoMod,2,WPD - CCI - RBD -DSD,Wider Caribbean except Bermuda,"Small, massive-crustose colonies with reticulated high ridges and closed valleys with few calices"
