FinalID,CommonEnglish,BCGAttribute,BCGAttributeFl,RedListCategory,Guild,PiscivoreSize
Acanthostracion polygonius,Honeycomb cowfish,I,NA,LC,I,NA
Acanthostracion quadricomis,Scrawled cowfish,I,NA,NA,I,NA
Carcharhinus limbatus,Blacktip shark,I,NA,VU,P,LP
Carcharhinus perezii,Caribbean reef shark,I,NA,NA,P,LP
Epinephelus itajara,Atlantic Goliath Grouper,I,NA,VU,P,LP
Epinephelus morio,Red grouper,I,NA,VU,I,NA
Epinephelus striatus,Nassau grouper,I,NA,CR,P,LP
Mycteroperca bonaci,Black grouper,I,NA,NT,P,LP
Mycteroperca interstitialis,Yellowmouth grouper,I,NA,VU,P,SP
Mycteroperca tigris,Tiger grouper,I,NA,DD,P,LP
Mycteroperca venenosa,Yellowfin grouper,I,NA,NT,P,LP
Scarus coelestinus,Midnight parrotfish,I,NA,DD,H,NA
Scarus coeruleus,Blue parrotfish,I,NA,LC,H,NA
Scarus guacamaia,Rainbow parrotfish,I,NA,NT,H,NA
Sphyrna mokarran,Great Hammerhead Shark,I,NA,CR,P,LP
Aetobatus narinari,Spotted eagle ray,II,NA,EN,I,NA
Aluterus scriptus,Scrawled filefish,II,NA,LC,I,NA
Amblycirrhitus pinos,Redspotted hawkfish,II,NA,LC,Z,NA
Anisotremus surinamensis,Black margate,II,NA,DD,I,NA
Astrapogon stellatus,Conchfish,II,NA,DD,I,NA
Aulostomus maculatus,Trumpetfish,II,NA,LC,P,SP
Cantherhines macrocerus,America whitespotted filefish,II,NA,NA,I,NA
Cantherhines pullus,Orangespotted filefish,II,NA,LC,H,NA
Caranx crysos,Blue runner,II,NA,LC,P,SP
Caranx hippos,Crevalle jack,II,NA,LC,P,LP
Cephalophilus furcifer,Atlantic creolefish,II,NA,NA,Z,NA
Chaenopsis limbaughi,Yellowface pikeblenny,II,NA,LC,I,NA
Chaetodipterus faber,Atlantic spadefish,II,NA,LC,I,NA
Chromis cyanea,Blue chromis,II,NA,LC,Z,NA
Chromis multilineata,Brown chromis,II,NA,LC,Z,NA
Clepticus parrae,Creole wrasse,II,NA,LC,Z,NA
Dactylopterus volitans,Flying gurnard,II,NA,LC,I,NA
Dasyatis americana,Southern stingray,II,NA,NA,I,NA
Elacatinus genie,Cleaner goby,II,NA,LC,H,NA
Elacatinus multifasciatus,Greenbanded goby,II,NA,NA,I,NA
Elacatinus oceanops,Neon goby,II,NA,LC,I,NA
